,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
113,1,4,2,0,0,50.00,6,lbw,1,v Bangladesh,Nottingham,20 Jun 2019
114,38,64,34,5,0,111.76,4,caught,1,v England,Lord's,25 Jun 2019
115,5,13,8,0,0,62.50,4,caught,1,v New Zealand,Lord's,29 Jun 2019
116,7,9,6,1,0,116.66,4,lbw,2,v South Africa,Manchester,6 Jul 2019
117,85,201,119,6,0,71.42,3,run out,1,v England,Birmingham,11 Jul 2019
118,DNB,-,-,-,-,-,-,-,2,v India,Mumbai,14 Jan 2020
119,98,-,102,9,1,96.07,3,bowled,2,v India,Rajkot,17 Jan 2020
120,131,-,132,14,1,99.24,3,caught,1,v India,Bengaluru,19 Jan 2020
121,76,129,94,3,0,80.85,3,lbw,2,v South Africa,Paarl,29 Feb 2020
122,13,29,17,1,0,76.47,3,caught,1,v South Africa,Bloemfontein,4 Mar 2020
123,20,32,26,3,0,76.92,3,lbw,1,v South Africa,Potchefstroom,7 Mar 2020
124,14,-,17,0,1,82.35,3,bowled,1,v New Zealand,Sydney,13 Mar 2020
