,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
96,41,81,59,4,0,69.49,3,caught,1,v India,Ranchi,26 Oct 2016
97,27,55,40,4,0,67.50,3,caught,2,v India,Visakhapatnam,29 Oct 2016
98,9,29,16,2,0,56.25,3,caught,2,v Australia,Sydney,4 Dec 2016
99,81,148,80,5,2,101.25,3,caught,2,v Australia,Canberra,6 Dec 2016
100,13,21,12,2,0,108.33,3,lbw,2,v Australia,Melbourne,9 Dec 2016
101,31,48,36,5,0,86.11,3,caught,1,v Bangladesh,Christchurch,26 Dec 2016
102,14,-,35,2,0,40.00,3,caught,1,v Bangladesh,Nelson,29 Dec 2016
103,95*,178,116,9,1,81.89,3,not out,2,v Bangladesh,Nelson,31 Dec 2016
104,24,48,34,2,0,70.58,3,caught,1,v Australia,Auckland,30 Jan 2017
105,36,51,42,5,0,85.71,3,caught,1,v Australia,Hamilton,5 Feb 2017
106,59,73,53,4,2,111.32,3,bowled,1,v South Africa,Hamilton,19 Feb 2017
107,69,117,75,6,0,92.00,3,caught,1,v South Africa,Christchurch,22 Feb 2017
108,23,57,40,0,1,57.50,3,bowled,2,v South Africa,Wellington,25 Feb 2017
109,21,38,24,3,0,87.50,3,lbw,2,v South Africa,Hamilton,1 Mar 2017
110,9,28,16,1,0,56.25,3,run out,1,v South Africa,Auckland,4 Mar 2017
111,100,148,97,8,3,103.09,3,run out,1,v Australia,Birmingham,2 Jun 2017
112,87,132,98,8,0,88.77,3,caught,2,v England,Cardiff,6 Jun 2017
113,57,95,69,5,0,82.60,3,run out,1,v Bangladesh,Cardiff,9 Jun 2017
114,6,14,8,0,0,75.00,3,caught,2,v India,Mumbai,22 Oct 2017
115,3,15,14,0,0,21.42,3,lbw,1,v India,Pune,25 Oct 2017
116,64,86,84,8,0,76.19,3,caught,2,v India,Kanpur,29 Oct 2017
117,38,61,45,5,0,84.44,3,bowled,2,v West Indies,Whangarei,20 Dec 2017
118,115,158,117,8,1,98.29,3,caught,1,v Pakistan,Wellington,6 Jan 2018
119,19,40,28,2,0,67.85,3,caught,2,v Pakistan,Nelson,9 Jan 2018
120,73,138,101,7,0,72.27,3,caught,1,v Pakistan,Dunedin,13 Jan 2018
121,32,84,54,1,0,59.25,3,caught,2,v Pakistan,Hamilton,16 Jan 2018
122,22,50,36,0,0,61.11,3,caught,1,v Pakistan,Wellington,19 Jan 2018
123,8,29,23,1,0,34.78,3,caught,2,v England,Hamilton,25 Feb 2018
