,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
129,82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,31 Jan 2014
130,136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,26 Feb 2014
131,48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,28 Feb 2014
132,5,29,11,0,0,45.45,3,caught,1,v Pakistan,Dhaka,2 Mar 2014
133,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Dhaka,5 Mar 2014
134,0,1,3,0,0,0.00,3,caught,1,v England,Cardiff,27 Aug 2014
135,40,67,50,2,1,80.00,3,caught,2,v England,Nottingham,30 Aug 2014
136,1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2 Sep 2014
137,13,25,21,2,0,61.90,3,caught,2,v England,Leeds,5 Sep 2014
138,2,7,5,0,0,40.00,3,caught,2,v West Indies,Kochi,8 Oct 2014
139,62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,11 Oct 2014
140,127,164,114,13,3,111.40,3,run out,1,v West Indies,Dharamsala,17 Oct 2014
141,22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2 Nov 2014
142,49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,6 Nov 2014
143,53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),9 Nov 2014
144,66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata,13 Nov 2014
145,139*,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,16 Nov 2014
146,9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,18 Jan 2015
147,4,13,8,0,0,50.00,4,caught,1,v England,Brisbane,20 Jan 2015
148,3*,8,9,0,0,33.33,4,not out,1,v Australia,Sydney,26 Jan 2015
149,8,26,19,0,0,42.10,3,caught,1,v England,Perth,30 Jan 2015
150,107,168,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide,15 Feb 2015
151,46,106,60,3,0,76.66,3,caught,1,v South Africa,Melbourne,22 Feb 2015
152,33*,49,41,5,0,80.48,3,not out,2,v U.A.E.,Perth,28 Feb 2015
153,33,51,36,5,0,91.66,3,caught,2,v West Indies,Perth,6 Mar 2015
154,44*,64,42,4,1,104.76,3,not out,2,v Ireland,Hamilton,10 Mar 2015
155,38,71,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland,14 Mar 2015
156,3,6,8,0,0,37.50,3,caught,1,v Bangladesh,Melbourne,19 Mar 2015
157,1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,26 Mar 2015
158,1,9,4,0,0,25.00,3,caught,2,v Bangladesh,Dhaka,18 Jun 2015
159,23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka,21 Jun 2015
160,25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka,24 Jun 2015
161,11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,11 Oct 2015
162,12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,14 Oct 2015
163,77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,18 Oct 2015
164,138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,22 Oct 2015
165,7,11,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,25 Oct 2015
166,91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,12 Jan 2016
167,59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,15 Jan 2016
